,count
prie,95
péter,95
moula,94
voyou,94
état,94
sorti,94
étoiles,94
chacun,94
sommeil,94
taille,94
cents,94
police,94
coeur,93
impression,93
froid,93
crime,93
long,92
fier,92
tourner,92
venu,92
to,91
rouge,91
vends,91
pu,91
compter,91
pouvoir,91
boule,91
partout,90
vieux,90
barre,90
quitte,90
méchant,90
impossible,90
top,90
nez,90
suite,90
fasse,90
têtes,90
vies,90
cent,89
table,89
mots,89
normal,89
doute,89
attend,88
coin,88
armes,88
frais,88
gosse,88
âge,88
enfants,88
fesses,88
pétasse,88
pareil,88
danger,87
petite,87
connaît,87
aurai,87
street,87
neuf,87
cause,86
problème,86
ensemble,86
calme,86
quelle,86
point,86
boss,86
brûle,86
cité,86
chercher,86
seulement,85
histoires,85
miroir,85
vit,84
pars,84
zéro,84
instant,84
vas-y,84
commence,84
espère,84
dernière,84
dure,83
né,83
reviens,83
rappeurs,83
nouvelle,83
esprit,83
jusqu'au,83
idées,82
finis,82
sauce,82
coupe,82
bad,82
bons,82
bull,82
gris,82
billet,82
devient,81
ghetto,81
boîte,81
noire,81
ami,80
flingue,80
passent,80
milieu,80
silence,80
adieu,80
lèvres,80
glock,80
goût,80
jaloux,80
sert,80
monter,79
savent,79
posé,79
alcool,79
bat,79
parents,79
poches,79
chérie,79
fumée,79
ennemi,79
grande,78
arrière,78
star,78
gauche,78
affaires,78
quelque,78
minuit,78
filles,78
vaut,77
dose,77
voilà,77
joint,77
retour,77
fric,77
sûrement,76
chatte,76
doit,76
million,76
coûte,76
pensées,76
solo,76
film,75
penser,75
tours,75
in,75
pleine,75
pièce,75
veste,75
sommes,75
hôtel,74
auras,74
con,74
bosse,74
suffit,74
sec,74
paname,74
morts,74
journée,74
comprends,73
rire,73
blanche,73
sombre,73
sexe,73
partie,73
dalle,73
putains,73
paraît,72
bleu,72
voulait,72
trouvé,72
mères,72
sales,72
sauf,72
sept,72
mauvaise,71
trucs,71
bail,71
ira,71
essaie,71
vodka,71
hun,71
murs,71
doigt,71
peut-être,71
plaît,71
sentiments,71
humain,71
afrique,71
payer,71
menteur,70
dope,70
attrape,70
certains,70
devenu,70
dormir,70
stop,70
vision,70
jean,70
disque,70
recompte,69
soucis,69
lit,69
espoir,69
envers,69
prison,69
arme,69
photo,69
quitté,69
fleurs,68
arriver,68
prennent,68
jeunes,68
toucher,68
faudrait,68
liasse,68
semaine,68
flics,68
rage,68
mêler,68
pluie,68
bonnes,68
futur,68
démons,68
contrôle,68
heureux,68
diamants,67
hors,67
voulu,67
studio,67
